walletAddress,tokenId,addOnTraitNames[0],,
0x916e5bdd46b956ae076756f767091df0b052deba,38283,ENERGY HALO,,
0x90a7cc5095e005fe7ff7b7c66c694033799f77fb,38284,ENERGY HALO,,
0x8a1c05b50e354364b2f40bcc979ed5507df8b2c0,38304,ENERGY HALO,,
0x875bde4c417e22035c03bac45bb953d8000aba70,38312,ENERGY HALO,,
0x8293370091efa2f56cc398b05d04eb6c5e35a541,38319,ENERGY HALO,,
0x827fa602d9171013218b719ea03d65323b2d321b,38320,ENERGY HALO,,
0x7fa9b9335a807491ce94927c3aa6c1410fc91616,38330,ENERGY HALO,,
0x79cbed42d632d00a0e990ee4859ac4b3c70e68bc,38346,ENERGY HALO,,
0x71f9bdfe92bb66b90e2005e56e8edc7ba4d721d2,38359,ENERGY HALO,,
0x67a5ab0aef8e6b3b2ae4ba1d514c2ccce2ca6e56,38390,ENERGY HALO,,
0x66d928b9a886c851410ac797806630a3a5773739,38392,ENERGY HALO,,
0x65c9c86905e670900f3218c29c0a1a4c64f022d8,38395,ENERGY HALO,,
0x659bac9cbc7d69cc53dbc0c128fcaeffa3fdd915,38396,ENERGY HALO,,
0x610c2bd4b82717fbba73acaca4718e5ecd46920c,38405,ENERGY HALO,,
0x5f788dbbfeae258587a78a37c7e5fea0dd001251,38409,ENERGY HALO,,
0x58061eb855bca35978564ae9355cbefd7e4c0a74,38420,ENERGY HALO,,
0x55c167accbe208a453acdd6365751c5c1e8e3288,38427,ENERGY HALO,,
0x4d8d9a08c201f35cad7c5a8817a0ec8a0869da32,38450,ENERGY HALO,,
0x4c76f8890fe5158f510fd720067a693970441518,38453,ENERGY HALO,,
0x4c3db51769e2a4356cc908c0c32f9abc2d882dc4,38454,ENERGY HALO,,
0x46c095e71056a2aa8c5b29c3d568bf2bc8a3ec13,38466,ENERGY HALO,,
0x43a996fa50d2f378d707aca9ddcde1c30cb68f63,38476,ENERGY HALO,,
0x366410fb1be1d5c620072872d5eadbbf8765c5e5,38506,ENERGY HALO,,
0x354c571bb3ad914676a93975620ee9da1919185c,38511,ENERGY HALO,,
0x3367a005c2bef54f2836a616ce3e4fa2d35910da,38517,ENERGY HALO,,
0x2d21c492351e8400feaddcee68841f4ebb82c566,38531,ENERGY HALO,,
0x2a0071c9a2e83482415e72c42a2a2eacbc0f0183,38538,ENERGY HALO,,
0x27358bad039c71b8d8f5e6750b9edea5f13bf001,38547,ENERGY HALO,,
0x23af73a8266f7479a45cafb9ec6a0126ca95dc64,38559,ENERGY HALO,,
0x20a1e9b0f535ddbfe442d415119bdb3d58dae037,38567,ENERGY HALO,,
0x1ff2ffb3756fdcca4bdf22ba8edaa284549485ec,38568,ENERGY HALO,,
0x1325628ed67be1f42e08328fe08ba6a91ff3dd2e,38599,ENERGY HALO,,
0x11380a1f233cc021cf651452bda661e65866382a,38602,ENERGY HALO,,
0x0ceb8b9f391747510eefe9ec585373b368d94eaf,38612,ENERGY HALO,,
0x0bf3da870c0d85fc7555854ce245f4f93ba17e6f,38615,ENERGY HALO,,
0x08637dc61f195412e85a2c1014772083fff5a76b,38622,ENERGY HALO,,
0x0810526ec19f17b1bb54b1377274fb49432de4cc,38623,ENERGY HALO,,
0x06c2cfdc2b274475316bdfc449cb092b80b6264a,38626,ENERGY HALO,,
0x67dc0cad9f5a12a4e5faa368a6aa7cd7fb6259c2,12856,ENERGY HALO,,
0x09bf7fb399cd0d91e83ad1c46654f3909669f201,28303,ENERGY HALO,,
0x05525cde529c5212f1eab7f033146c8cc103cd5d,12411,ENERGY HALO,,
0x0426e6b29ec78c8d43502ec8decbdb76551e7d60,16116,ENERGY HALO,,
0xd43eea8e73957c7632afe43ee154ad4a79d98181,23115,ENERGY HALO,,
0x12372b0ee93cafe88d00ec53da94ca73b5fd767e,28785,ENERGY HALO,,
0x0fcfc9c0e0b228fc8dedc3e153c906edc4edd206,31084,ENERGY HALO,,
0x4e675b95a69ea0d20ce7727ff10fc0334cc45eba,8005,ENERGY HALO,,
0x0ff65f3c24c1410c34ccef7b888d19736a036665,38309,ENERGY HALO,,
0x728f9e53d565b9dc7a08de273f609a8512d927f9,20111,ENERGY HALO,,
0xf4676ac06f59ba53e71a38dc96d9b956e740391b,25643,ENERGY HALO,,
0x19839daebee7b76b4e38cd7f5127487af695a6f0,29024,ENERGY HALO,,
0xf5ed4f07cddd8cf29e33ee3b7a0266d5538de912,1742,ENERGY HALO,,
0xf84cbdd66cc00777259033ae5a659d956b103074,26184,ENERGY HALO,,
0xca84541d8b8bf50fd8b042acfd28b1e390703e20,31187,ENERGY HALO,,
0xbaa289ec91b8e2fdaf78ac889adbb05c6c739501,31181,ENERGY HALO,,
0xb883cb84fbadd545e934923bd9450418ba0956eb,10679,ENERGY HALO,,
