Your First Token Minting Transaction URL,Your Second Token Minting Transaction URL,Your Add Liquidity Transaction URL,Your Swap Transaction URL,Your wallet address,,Eligible,Comment,,,
https://explorer.testnet.mantle.xyz/tx/0x9bb7b4f51193128f3c92f0bf9985f96a044a65c917de75018d8664c660dc198d,https://explorer.testnet.mantle.xyz/tx/0x9bb7b4f51193128f3c92f0bf9985f96a044a65c917de75018d8664c660dc198d,https://explorer.mantle.xyz/tx/0xa89c21af7a6de33487638e1afa419d99ef1512e3b4e5c737ed314b781a657a5c,https://explorer.mantle.xyz/tx/0x26b320c2f27f302e53e1c55c61b97205a0e631b0b732723c7517452188725463,0x0864C1f065fF5564F4649A58A516c7f7C20Bc369,,－,First and second minting incorrect,Wrong Transaction for Token Minting. Criteria was to mint on Mainnet and add liquidity of Minted Tokens. but the mint urls are provided of Testnet,,√
https://explorer.mantle.xyz/tx/0x9ede8746ae8e2b73bc2330fe8c08a070b53bc91047b89779332e6b2787e20359,https://explorer.mantle.xyz/tx/0x3976a4db518592d77c0d9852c24589ce151a43232ecb8e81724b7e22cf6b2fd2,https://explorer.mantle.xyz/tx/0x805c5efb8f85becbc0a3963275d99092e515e77d29dcee00fa91605fb429da5e,https://explorer.mantle.xyz/tx/0xe0b4b8706254cfcc9e541cd01ea3863da468dd3f0f35b9e493337f5b1dd608b2,0x506734FA97CC465066B3c3Cfd5a14feEb027397F,,－,"First and second minting incorrect, wrong LP transaction",Wrong Transactions links provided,,
https://explorer.mantle.xyz/tx/0x952b1265670878ccc399b75495a6f5b77b5e8472e14c4181334c25b824aa0ccd,https://explorer.mantle.xyz/tx/0xfa97427ab1ce1bcd9a2f6032a55bd974535c96c45d0aaa00ad20ac96e0e770d4,https://explorer.mantle.xyz/tx/0xe844ff68d42a69d014d4aef146e709812ffbbe94c35336891380e448ce2b84d8,N/A,0x9bC7F7Aa4b4395391089dA8588fFb0842b5483A6,,－,"First and second minting incorrect, wrong LP transaction, no swap transaction",,,
https://explorer.mantle.xyz/tx/0xc4b9f4520fd8de1eaa416fdc24b72ae590dec3c1b5f518aef78cfdd585b9c03c,https://explorer.mantle.xyz/tx/0xf7b6c556a0f955d9df1fa0869a4d19e3d1dc3bbcce4e9ffd6a1362451230235a,https://explorer.mantle.xyz/tx/0x7f0466dbdcadcb4ef460dc47dccfaa45bc2f9673adc3b884a62391b943db96d1,https://explorer.mantle.xyz/tx/0x0555adf789d558bf6a4586ad341c7286ac51b134349c5932b34165d460c59311,0x38A7AF58E2d293Bb4e91f04945787aabd3c07E9C,,√,All correct,,,
https://explorer.mantle.xyz/tx/0xf42dd95f4510fa1f6a7fedc0a85c877aa71f4d15fc4d46f4ed9876c7e4449320,https://explorer.mantle.xyz/tx/0xd17b416baa36cda56740ec68ed181ba2af43b30b237572d595420b29068ca312,https://explorer.mantle.xyz/tx/0x759181b0d05290b69e283e36dcaaf9788ad17f464e72975d9b7fe010ad7fc0d4,https://explorer.mantle.xyz/tx/0xe3b1e895728f7ee04f461e6e95487f989b67b3a26c4cca76ea371aa0eb33fd43,0x472853f6b4DFafCB93095b258f33D5080F38723E,,√,All correct,,,
0x03a3bac8e8c0e97d3670a2848bb132d2d1ec9f6f8b25c50a2673dfb11cec4b65,https://explorer.testnet.mantle.xyz/tx/0xcf8b946613f8ccea9192c5ae423e69dacda6a0360dc192ad7cb262a5f2291d30,https://explorer.testnet.mantle.xyz/tx/0x4c580bcc7633cedd5e3c6f058ad661b4a4e3ce6ea0dbacfa84fdebd6948270b4,https://explorer.testnet.mantle.xyz/tx/0x4e734601ec7127ac9f10badeec00171534a8413e951d686d90826c7e78503ea9,0x56D6481e19841cA0b0157AeEe0815baD09D65883,,－,All transaction in testnet,,,
https://explorer.mantle.xyz/tx/0xd488770cb4d090981c089102da638e99de734e63195b7758409b696e023ac845,https://explorer.mantle.xyz/tx/0xe5febcc1e649aa805a90fbed212eca23635f2724775f8260b3ff593c3fe87a61,https://explorer.mantle.xyz/tx/0x3ae66408c83ed94b15ba7c1f69d769c9ce41c8ccb647305c937fe4edcf116afc,https://explorer.mantle.xyz/tx/0x9e804414bc75ab754f6c607c0faf07aaa910b9524e368fefe4f88a141ecfd27d,0x126fB6BD5a635706bf244a2827c15690C2444A83,,√,All correct,,,
0x33a66b9e9782c9d098199fed5f0493da0693c8c4ffa98261a91b733ac35a086f ,0x33a66b9e9782c9d098199fed5f0493da0693c8c4ffa98261a91b733ac35a086f ,0xc837d25a5defe1a0b8c7af31b625a5ee54e64780f13641169987b7ecec74d5d6 ,0xc54dc75d86a006f368180dbc4d07f0d4b22762f40716f5247b63521001a038dc,0x9c6a98A375539640145ce4901FD00f187C876041,,－,Wrong info,,,
0x021424e2c1ed2250618b316292adb78f53cf0de01bb61f0a1172446ea6615a1a ,0x021424e2c1ed2250618b316292adb78f53cf0de01bb61f0a1172446ea6615a1a ,0xaec106de2e3d5b2cd01decc6d9fcf7384755cd5cd9490d629be0bb52631b0a49,0xc4eb3f5f13633500fb8fee6bd55a2bb1309f9bb3435f9b27014578c765af3d51 ,0xfDe2Fa1514F00876501c5399cD9403d8dDa8A7c0,,－,Wrong info,,,
https://explorer.mantle.xyz/tx/0x38833c7c822bce95791a9fb843d62ae8b684acf4c07ac1b85d4000223e927b70,https://explorer.mantle.xyz/tx/0xcad48c1e88b52cd1f878f7c3656456434ba82ac7e53a9649fabbb880826bb259,https://explorer.mantle.xyz/tx/0xb5d78facea48f4129f8ac2aa92536d6d6567669697ef581632a9235c8d11443a,https://explorer.mantle.xyz/tx/0x701000d8bed541a86878f680d2ce34b2c0a6ddec7fd5afda8c167d3edde70d55,0x92ee8Fe5c828a2a7DB28C81d608d3EBE91Ea6C6F,,√,All correct,,,
https://explorer.mantle.xyz/tx/0x40d1811e7824c60b9a3a09107e01bab6c176adbc8a72e0caa8dfacaf557d9e06,https://explorer.mantle.xyz/tx/0xc4b89a98110f95cd3aaa09b169e9e504b05c3a08ccb82a2fd489f34579c7bc60,https://explorer.mantle.xyz/tx/0x8408964ef7844d11fcbdd230677d361d23d2290e3a076588305f64ef67d79657,https://explorer.mantle.xyz/tx/0x794e4f6de99379a019094f0c30248c30dd2ee297e8ae81ca4150ab7d747f78a6,0x5d9c276e6eD92aE01D24e26DccA54531B7bfBD93,,√,All correct,,,
https://explorer.mantle.xyz/tx/0x5c4603a682549f510614eb94f0c2bb963797f4e90650e9a8729ed21acf634562,https://explorer.mantle.xyz/tx/0x5f0b3a059b3da4ac21057d20ef716e57aabdb2510cb42dee92ba73456e5e1b1c,https://explorer.mantle.xyz/tx/0x007bc4e77cef07befbaf87cd826103ce45e380c93ea8b10099cef71013ec07e0,https://explorer.mantle.xyz/tx/0x9ef9b7479f113e0f89ed9b49fc53c52db6d87513a22009fa1ae68a230366683e,0x58Ef73A55041e2763B8a40f1186f5AC9637Ba11e,,√,All correct,,,
